,Time,Wind Speed (kph),Wind Direction (°)
199,2025-07-09 07:00:00+00:00,0.7,104
200,2025-07-09 08:00:00+00:00,1.8,45
201,2025-07-09 09:00:00+00:00,2.2,48
202,2025-07-09 10:00:00+00:00,4.2,20
203,2025-07-09 11:00:00+00:00,3.0,25
204,2025-07-09 12:00:00+00:00,1.9,22
205,2025-07-09 13:00:00+00:00,2.5,4
206,2025-07-09 14:00:00+00:00,1.8,349
207,2025-07-09 15:00:00+00:00,2.7,337
208,2025-07-09 16:00:00+00:00,2.0,297
209,2025-07-09 17:00:00+00:00,3.3,234
210,2025-07-09 18:00:00+00:00,5.4,220
211,2025-07-09 19:00:00+00:00,6.9,219
212,2025-07-09 20:00:00+00:00,7.8,220
213,2025-07-09 21:00:00+00:00,8.5,222
214,2025-07-09 22:00:00+00:00,10.0,219
215,2025-07-09 23:00:00+00:00,9.7,223
216,2025-07-10 00:00:00+00:00,9.2,227
217,2025-07-10 01:00:00+00:00,8.8,226
218,2025-07-10 02:00:00+00:00,7.9,225
219,2025-07-10 03:00:00+00:00,6.1,236
220,2025-07-10 04:00:00+00:00,6.5,226
221,2025-07-10 05:00:00+00:00,5.4,233
222,2025-07-10 06:00:00+00:00,3.8,270
223,2025-07-10 07:00:00+00:00,2.6,286
224,2025-07-10 08:00:00+00:00,1.5,315
225,2025-07-10 09:00:00+00:00,2.3,360
226,2025-07-10 10:00:00+00:00,4.9,6
227,2025-07-10 11:00:00+00:00,6.0,9
228,2025-07-10 12:00:00+00:00,6.7,9
229,2025-07-10 13:00:00+00:00,7.3,11
230,2025-07-10 14:00:00+00:00,7.7,12
231,2025-07-10 15:00:00+00:00,7.6,14
232,2025-07-10 16:00:00+00:00,8.5,12
233,2025-07-10 17:00:00+00:00,8.8,12
234,2025-07-10 18:00:00+00:00,8.3,11
235,2025-07-10 19:00:00+00:00,7.1,10
236,2025-07-10 20:00:00+00:00,5.8,7
237,2025-07-10 21:00:00+00:00,4.3,2
238,2025-07-10 22:00:00+00:00,1.7,342
239,2025-07-10 23:00:00+00:00,1.5,291
240,2025-07-11 00:00:00+00:00,2.2,270
241,2025-07-11 01:00:00+00:00,2.6,258
242,2025-07-11 02:00:00+00:00,3.3,234
243,2025-07-11 03:00:00+00:00,3.8,225
244,2025-07-11 04:00:00+00:00,2.7,262
245,2025-07-11 05:00:00+00:00,4.2,317
246,2025-07-11 06:00:00+00:00,5.2,331
247,2025-07-11 07:00:00+00:00,5.2,340
248,2025-07-11 08:00:00+00:00,5.6,353
249,2025-07-11 09:00:00+00:00,6.5,2
250,2025-07-11 10:00:00+00:00,7.3,9
251,2025-07-11 11:00:00+00:00,7.8,15
252,2025-07-11 12:00:00+00:00,8.0,18
253,2025-07-11 13:00:00+00:00,8.0,20
254,2025-07-11 14:00:00+00:00,8.0,18
255,2025-07-11 15:00:00+00:00,7.8,19
256,2025-07-11 16:00:00+00:00,8.6,20
257,2025-07-11 17:00:00+00:00,8.3,24
258,2025-07-11 18:00:00+00:00,6.8,32
259,2025-07-11 19:00:00+00:00,5.5,36
260,2025-07-11 20:00:00+00:00,4.0,39
261,2025-07-11 21:00:00+00:00,1.9,56
262,2025-07-11 22:00:00+00:00,1.5,166
